Key	기준단가	기준일	버전	비고
단순 포장절삭 후 아스콘 덧씌우기(대면적)|-|-	30000	2026-08-19	Ver3.0	기존 아스콘 표면 절삭 T≈5cm + 청소 + 택코트 + 아스콘 표층 T≈5cm. 관로공사 제외.
아스콘 절삭 후 아스콘 포장(소규모 복구)|-|-	40000	2026-08-19	Ver3.0	소형장비·소규모 구간 기준. 표면 절삭 T≈5cm + 표층 T≈5cm.
아스콘 철거 후 아스콘 포장|-|-	80000	2026-08-19	Ver3.0	기존 아스콘 포장 철거·폐기 + 아스콘 재포장(표층+기층) 개략.
콘크리트 절삭 후 콘크리트 포장|-|-	75000	2026-08-19	Ver3.0	기존 콘크리트 표면처리/절삭 + 콘크리트 T≈20cm 재포장 개략.
콘크리트 절삭 후 아스콘 포장|-|-	40000	2026-08-19	Ver3.0	콘크리트 표면처리/절삭 + 택코트 + 아스콘 표층 T≈5cm. 관로공사 제외.
아스콘 굴착 및 상수도관 설치 후 아스콘 포장복구|D15|쪽포장	175000	2026-08-19	Ver3.0	포장절단·철거, 굴착, 관부설, 되메우기·다짐, 기본 포장복구 포함.
아스콘 굴착 및 상수도관 설치 후 아스콘 포장복구|D20|쪽포장	180000	2026-08-19	Ver3.0	포장절단·철거, 굴착, 관부설, 되메우기·다짐, 기본 포장복구 포함.
아스콘 굴착 및 상수도관 설치 후 아스콘 포장복구|D25|쪽포장	185000	2026-08-19	Ver3.0	포장절단·철거, 굴착, 관부설, 되메우기·다짐, 기본 포장복구 포함.
아스콘 굴착 및 상수도관 설치 후 아스콘 포장복구|D32|쪽포장	190000	2026-08-19	Ver3.0	포장절단·철거, 굴착, 관부설, 되메우기·다짐, 기본 포장복구 포함.
아스콘 굴착 및 상수도관 설치 후 아스콘 포장복구|D50|쪽포장	210000	2026-08-19	Ver3.0	포장절단·철거, 굴착, 관부설, 되메우기·다짐, 기본 포장복구 포함.
아스콘 굴착 및 상수도관 설치 후 아스콘 포장복구|D80|쪽포장	230000	2026-08-19	Ver3.0	포장절단·철거, 굴착, 관부설, 되메우기·다짐, 기본 포장복구 포함.
아스콘 굴착 및 상수도관 설치 후 아스콘 포장복구|D100|쪽포장	261000	2026-08-19	Ver3.0	포장절단·철거, 굴착, 관부설, 되메우기·다짐, 기본 포장복구 포함.
아스콘 굴착 및 상수도관 설치 후 아스콘 포장복구|D150|쪽포장	320000	2026-08-19	Ver3.0	포장절단·철거, 굴착, 관부설, 되메우기·다짐, 기본 포장복구 포함.
아스콘 굴착 및 상수도관 설치 후 아스콘 포장복구|D200|쪽포장	390000	2026-08-19	Ver3.0	포장절단·철거, 굴착, 관부설, 되메우기·다짐, 기본 포장복구 포함.
아스콘 굴착 및 상수도관 설치 후 아스콘 포장복구|D250|쪽포장	470000	2026-08-19	Ver3.0	포장절단·철거, 굴착, 관부설, 되메우기·다짐, 기본 포장복구 포함.
아스콘 굴착 및 상수도관 설치 후 아스콘 포장복구|D300|쪽포장	560000	2026-08-19	Ver3.0	포장절단·철거, 굴착, 관부설, 되메우기·다짐, 기본 포장복구 포함.
콘크리트 굴착 및 상수도관 설치 후 콘크리트 포장복구|D15|쪽포장	195000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐, 콘크리트 T≈20cm 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 콘크리트 포장복구|D20|쪽포장	200000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐, 콘크리트 T≈20cm 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 콘크리트 포장복구|D25|쪽포장	205000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐, 콘크리트 T≈20cm 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 콘크리트 포장복구|D32|쪽포장	210000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐, 콘크리트 T≈20cm 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 콘크리트 포장복구|D50|쪽포장	230000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐, 콘크리트 T≈20cm 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 콘크리트 포장복구|D80|쪽포장	250000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐, 콘크리트 T≈20cm 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 콘크리트 포장복구|D100|쪽포장	280000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐, 콘크리트 T≈20cm 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 콘크리트 포장복구|D150|쪽포장	345000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐, 콘크리트 T≈20cm 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 콘크리트 포장복구|D200|쪽포장	420000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐, 콘크리트 T≈20cm 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 콘크리트 포장복구|D250|쪽포장	505000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐, 콘크리트 T≈20cm 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 콘크리트 포장복구|D300|쪽포장	600000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐, 콘크리트 T≈20cm 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 아스콘 포장복구|D15|쪽포장	185000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐 후 아스콘 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 아스콘 포장복구|D20|쪽포장	190000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐 후 아스콘 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 아스콘 포장복구|D25|쪽포장	195000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐 후 아스콘 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 아스콘 포장복구|D32|쪽포장	200000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐 후 아스콘 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 아스콘 포장복구|D50|쪽포장	220000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐 후 아스콘 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 아스콘 포장복구|D80|쪽포장	240000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐 후 아스콘 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 아스콘 포장복구|D100|쪽포장	270000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐 후 아스콘 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 아스콘 포장복구|D150|쪽포장	335000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐 후 아스콘 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 아스콘 포장복구|D200|쪽포장	405000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐 후 아스콘 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 아스콘 포장복구|D250|쪽포장	485000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐 후 아스콘 기본 복구 포함.
콘크리트 굴착 및 상수도관 설치 후 아스콘 포장복구|D300|쪽포장	580000	2026-08-19	Ver3.0	콘크리트 철거, 굴착, 관부설, 되메우기·다짐 후 아스콘 기본 복구 포함.
인도(보도블록) 굴착 및 상수도관 설치 후 인도 복구|D15|쪽포장	155000	2026-08-19	Ver3.0	보도블록 해체(재사용 전제), 굴착, 관부설, 되메우기·다짐, 보도블록 재설치 포함.
인도(보도블록) 굴착 및 상수도관 설치 후 인도 복구|D20|쪽포장	160000	2026-08-19	Ver3.0	보도블록 해체(재사용 전제), 굴착, 관부설, 되메우기·다짐, 보도블록 재설치 포함.
인도(보도블록) 굴착 및 상수도관 설치 후 인도 복구|D25|쪽포장	165000	2026-08-19	Ver3.0	보도블록 해체(재사용 전제), 굴착, 관부설, 되메우기·다짐, 보도블록 재설치 포함.
인도(보도블록) 굴착 및 상수도관 설치 후 인도 복구|D32|쪽포장	170000	2026-08-19	Ver3.0	보도블록 해체(재사용 전제), 굴착, 관부설, 되메우기·다짐, 보도블록 재설치 포함.
인도(보도블록) 굴착 및 상수도관 설치 후 인도 복구|D50|쪽포장	190000	2026-08-19	Ver3.0	보도블록 해체(재사용 전제), 굴착, 관부설, 되메우기·다짐, 보도블록 재설치 포함.
인도(보도블록) 굴착 및 상수도관 설치 후 인도 복구|D80|쪽포장	210000	2026-08-19	Ver3.0	보도블록 해체(재사용 전제), 굴착, 관부설, 되메우기·다짐, 보도블록 재설치 포함.
인도(보도블록) 굴착 및 상수도관 설치 후 인도 복구|D100|쪽포장	240000	2026-08-19	Ver3.0	보도블록 해체(재사용 전제), 굴착, 관부설, 되메우기·다짐, 보도블록 재설치 포함.
인도(보도블록) 굴착 및 상수도관 설치 후 인도 복구|D150|쪽포장	300000	2026-08-19	Ver3.0	보도블록 해체(재사용 전제), 굴착, 관부설, 되메우기·다짐, 보도블록 재설치 포함.
인도(보도블록) 굴착 및 상수도관 설치 후 인도 복구|D200|쪽포장	365000	2026-08-19	Ver3.0	보도블록 해체(재사용 전제), 굴착, 관부설, 되메우기·다짐, 보도블록 재설치 포함.
인도(보도블록) 굴착 및 상수도관 설치 후 인도 복구|D250|쪽포장	440000	2026-08-19	Ver3.0	보도블록 해체(재사용 전제), 굴착, 관부설, 되메우기·다짐, 보도블록 재설치 포함.
인도(보도블록) 굴착 및 상수도관 설치 후 인도 복구|D300|쪽포장	525000	2026-08-19	Ver3.0	보도블록 해체(재사용 전제), 굴착, 관부설, 되메우기·다짐, 보도블록 재설치 포함.
일반토사 굴착 및 상수도관 설치 후 원상복구|D15|원상복구	125000	2026-08-19	Ver3.0	측구 밖·비포장 일반토사 구간 기준. 굴착, 관부설, 되메우기·다짐, 표토 정리·원상복구 포함. 포장복구 제외.
일반토사 굴착 및 상수도관 설치 후 원상복구|D20|원상복구	130000	2026-08-19	Ver3.0	측구 밖·비포장 일반토사 구간 기준. 굴착, 관부설, 되메우기·다짐, 표토 정리·원상복구 포함. 포장복구 제외.
